discharge,ic
17,22352.57980743316
18,24445.12241893981
19,23698.98738460771
20,22971.94230037186
21,22293.12734942073
22,23295.458156057484
23,22698.45366356958
24,22302.171300623195
25,22545.76930957133
26,23048.87235470832
27,21368.14058866845
28,22344.37284511478
29,22299.383320324137
30,21471.34974776944
31,34186.55617600888
32,28366.18050039569
33,29029.85900557154
34,30047.25050285028
35,30768.01736110988
36,29913.62554064555
37,24425.491447734003
38,25997.575451707267
39,24851.081999802696
40,25138.692343273244
41,36468.39507305757
42,23975.399940563937
43,20474.14764259057
44,24843.27375196
45,23506.66093432359
46,23674.73578017313
47,26825.84754407845
48,29900.461340797243
49,29334.943609783528
50,31609.172695375066
51,35386.62313306244
52,27279.25273825673
53,25209.852287208007
54,33330.04755898614
55,28419.65814612908
56,25004.70744480667
57,22247.384567497054
58,26941.048322982595
59,23356.72919515036
60,22245.989037748637
62,21427.28097639165
63,44319.7398272885
64,19670.946060213315
65,24462.21687320436
66,22890.92182651387
67,20682.84995986098
68,18674.73013277851
69,21427.91110410437
70,19428.2463562916
71,19147.701638652357
72,18844.62003012025
73,18239.85267542484
74,19122.125133451114
75,17291.886266188547
76,20599.359037326907
77,18208.60161463564
78,18214.88740318844
79,17394.131717361164
80,17920.328366757134
81,20762.65853539132
82,17747.67051013211
83,18554.39866917252
84,17955.117770540863
85,17407.57162958855
86,16640.683663419706
87,15692.63913342391
88,16599.9626351654
89,19836.50492691033
90,18158.139224499457
91,19568.851277333582
92,19382.449079035283
93,15722.294369177
94,17091.441757511668
95,16534.39364638973
96,16110.238547877429
97,15537.111153546308
98,16153.988592732392
99,19770.1725613586
100,15340.911088224348
101,15453.07818963706
102,14420.71525582841
103,15112.563388024117
104,15735.6202273334
105,14784.511175004096
106,16943.912334251992
107,38028.19680464202
108,14595.210422287371
109,13762.317856942753
110,14074.289211083773
111,56639.879705016174
112,13360.157666949824
113,13382.646349322093
114,14881.391668929182
115,13412.160763323212
116,15274.076099877224
117,14414.379179412865
118,13257.130160985043
119,12939.630044928674
120,13962.336691688348
121,13861.702257838351
122,16035.981981415802
123,13875.30268580652
124,13552.61264699408
125,13357.63184140823
126,14536.642369190087
10,23104.70140678218
11,21811.587544195696
12,26922.90439458588
13,23803.281472726416
14,24662.456006732
15,25136.140483877374
16,22403.720944479715
17,22352.57980743316
18,24445.12241893981
19,23698.98738460771
20,22971.94230037186
21,22293.12734942073
22,23295.458156057484
23,22698.45366356958
24,22302.171300623195
25,22545.76930957133
26,23048.87235470832
27,21368.14058866845
28,22344.37284511478
29,22299.383320324137
30,21471.34974776944
31,34186.55617600888
32,28366.18050039569
33,29029.85900557154
34,30047.25050285028
35,30768.01736110988
36,29913.62554064555
37,24425.491447734003
38,25997.575451707267
39,24851.081999802696
40,25138.692343273244
41,36468.39507305757
42,23975.399940563937
43,20474.14764259057
44,24843.27375196
45,23506.66093432359
46,23674.73578017313
47,26825.84754407845
48,29900.461340797243
49,29334.943609783528
50,31609.172695375066
51,35386.62313306244
52,27279.25273825673
53,25209.852287208007
54,33330.04755898614
55,28419.65814612908
56,25004.70744480667
57,22247.384567497054
58,26941.048322982595
59,23356.72919515036
60,22245.989037748637
62,21427.28097639165
63,44319.7398272885
64,19670.946060213315
65,24462.21687320436
66,22890.92182651387
67,20682.84995986098
68,18674.73013277851
69,21427.91110410437
70,19428.2463562916
71,19147.701638652357
72,18844.62003012025
73,18239.85267542484
74,19122.125133451114
75,17291.886266188547
76,20599.359037326907
77,18208.60161463564
78,18214.88740318844
79,17394.131717361164
80,17920.328366757134
81,20762.65853539132
82,17747.67051013211
83,18554.39866917252
84,17955.117770540863
85,17407.57162958855
86,16640.683663419706
87,15692.63913342391
88,16599.9626351654
89,19836.50492691033
90,18158.139224499457
91,19568.851277333582
92,19382.449079035283
93,15722.294369177
94,17091.441757511668
95,16534.39364638973
96,16110.238547877429
97,15537.111153546308
98,16153.988592732392
99,19770.1725613586
100,15340.911088224348
101,15453.07818963706
102,14420.71525582841
103,15112.563388024117
104,15735.6202273334
105,14784.511175004096
106,16943.912334251992
107,38028.19680464202
108,14595.210422287371
109,13762.317856942753
110,14074.289211083773
111,56639.879705016174
112,13360.157666949824
113,13382.646349322093
114,14881.391668929182
115,13412.160763323212
116,15274.076099877224
117,14414.379179412865
118,13257.130160985043
119,12939.630044928674
120,13962.336691688348
121,13861.702257838351
122,16035.981981415802
123,13875.30268580652
124,13552.61264699408
125,13357.63184140823
126,14536.642369190087
127,13523.47534865218
11,21811.587544195696
12,26922.90439458588
13,23803.281472726416
14,24662.456006732
15,25136.140483877374
16,22403.720944479715
17,22352.57980743316
18,24445.12241893981
19,23698.98738460771
20,22971.94230037186
21,22293.12734942073
22,23295.458156057484
23,22698.45366356958
24,22302.171300623195
25,22545.76930957133
26,23048.87235470832
27,21368.14058866845
28,22344.37284511478
29,22299.383320324137
30,21471.34974776944
31,34186.55617600888
32,28366.18050039569
33,29029.85900557154
34,30047.25050285028
35,30768.01736110988
36,29913.62554064555
37,24425.491447734003
38,25997.575451707267
39,24851.081999802696
40,25138.692343273244
41,36468.39507305757
42,23975.399940563937
43,20474.14764259057
44,24843.27375196
45,23506.66093432359
46,23674.73578017313
47,26825.84754407845
48,29900.461340797243
49,29334.943609783528
50,31609.172695375066
51,35386.62313306244
52,27279.25273825673
53,25209.852287208007
54,33330.04755898614
55,28419.65814612908
56,25004.70744480667
57,22247.384567497054
58,26941.048322982595
59,23356.72919515036
60,22245.989037748637
62,21427.28097639165
63,44319.7398272885
64,19670.946060213315
65,24462.21687320436
66,22890.92182651387
67,20682.84995986098
68,18674.73013277851
69,21427.91110410437
70,19428.2463562916
71,19147.701638652357
72,18844.62003012025
73,18239.85267542484
74,19122.125133451114
75,17291.886266188547
76,20599.359037326907
77,18208.60161463564
78,18214.88740318844
79,17394.131717361164
80,17920.328366757134
81,20762.65853539132
82,17747.67051013211
83,18554.39866917252
84,17955.117770540863
85,17407.57162958855
86,16640.683663419706
87,15692.63913342391
88,16599.9626351654
89,19836.50492691033
90,18158.139224499457
91,19568.851277333582
92,19382.449079035283
93,15722.294369177
94,17091.441757511668
95,16534.39364638973
96,16110.238547877429
97,15537.111153546308
98,16153.988592732392
99,19770.1725613586
100,15340.911088224348
101,15453.07818963706
102,14420.71525582841
103,15112.563388024117
104,15735.6202273334
105,14784.511175004096
106,16943.912334251992
107,38028.19680464202
108,14595.210422287371
109,13762.317856942753
110,14074.289211083773
111,56639.879705016174
112,13360.157666949824
113,13382.646349322093
114,14881.391668929182
115,13412.160763323212
116,15274.076099877224
117,14414.379179412865
118,13257.130160985043
119,12939.630044928674
120,13962.336691688348
121,13861.702257838351
122,16035.981981415802
123,13875.30268580652
124,13552.61264699408
125,13357.63184140823
126,14536.642369190087
127,13523.47534865218
128,12563.222059958543
12,26922.90439458588
13,23803.281472726416
14,24662.456006732
15,25136.140483877374
16,22403.720944479715
17,22352.57980743316
18,24445.12241893981
19,23698.98738460771
20,22971.94230037186
21,22293.12734942073
22,23295.458156057484
23,22698.45366356958
24,22302.171300623195
25,22545.76930957133
26,23048.87235470832
27,21368.14058866845
28,22344.37284511478
29,22299.383320324137
30,21471.34974776944
31,34186.55617600888
32,28366.18050039569
33,29029.85900557154
34,30047.25050285028
35,30768.01736110988
36,29913.62554064555
37,24425.491447734003
38,25997.575451707267
39,24851.081999802696
40,25138.692343273244
41,36468.39507305757
42,23975.399940563937
43,20474.14764259057
44,24843.27375196
45,23506.66093432359
46,23674.73578017313
47,26825.84754407845
48,29900.461340797243
49,29334.943609783528
50,31609.172695375066
51,35386.62313306244
52,27279.25273825673
53,25209.852287208007
54,33330.04755898614
55,28419.65814612908
56,25004.70744480667
57,22247.384567497054
58,26941.048322982595
59,23356.72919515036
60,22245.989037748637
62,21427.28097639165
63,44319.7398272885
64,19670.946060213315
65,24462.21687320436
66,22890.92182651387
67,20682.84995986098
68,18674.73013277851
69,21427.91110410437
70,19428.2463562916
71,19147.701638652357
72,18844.62003012025
73,18239.85267542484
74,19122.125133451114
75,17291.886266188547
76,20599.359037326907
77,18208.60161463564
78,18214.88740318844
79,17394.131717361164
80,17920.328366757134
81,20762.65853539132
82,17747.67051013211
83,18554.39866917252
84,17955.117770540863
85,17407.57162958855
86,16640.683663419706
87,15692.63913342391
88,16599.9626351654
89,19836.50492691033
90,18158.139224499457
91,19568.851277333582
92,19382.449079035283
93,15722.294369177
94,17091.441757511668
95,16534.39364638973
96,16110.238547877429
97,15537.111153546308
98,16153.988592732392
99,19770.1725613586
100,15340.911088224348
101,15453.07818963706
102,14420.71525582841
103,15112.563388024117
104,15735.6202273334
105,14784.511175004096
106,16943.912334251992
107,38028.19680464202
108,14595.210422287371
109,13762.317856942753
110,14074.289211083773
111,56639.879705016174
112,13360.157666949824
113,13382.646349322093
114,14881.391668929182
115,13412.160763323212
116,15274.076099877224
117,14414.379179412865
118,13257.130160985043
119,12939.630044928674
120,13962.336691688348
121,13861.702257838351
122,16035.981981415802
123,13875.30268580652
124,13552.61264699408
125,13357.63184140823
126,14536.642369190087
127,13523.47534865218
